qid,question,definition,ambiguous,candidate_answer,candidate_unit,source_page,evidence_anchors,company,fiscal_year,verdict,corrected_answer,corrected_unit,notes,precheck,page_excerpt,source_note,also_on_pages
FI4ad727a4,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were provisions (provisions as reported in the consolidated financial statements)?",provisions as reported in the consolidated financial statements,no,-2366.61,INR crore,282,p282: Provisions | -2366.61,Tata Motors Limited,2023-24,rejected,,,"Metric Mismatch / Incorrect Financial Statement: The prompt asks for ""provisions"" as reported in the consolidated financial statements, which conventionally refers to the liability balance reported on the face of the Consolidated Balance Sheet (typically split between current and non-current provisions).Factual Error: The candidate extracted a negative figure, -2366.61 INR crore (shown as (2,366.61) in the filing) from page 282. As seen in earlier checks for Tata Motors, page 282 contains the Consolidated Statement of Cash Flows. This specific negative figure represents the change or adjustment in provisions (an outflow or reversal) during the year, not the actual ending balance of the liability.Incomplete Metric: Even if the candidate had correctly targeted the balance sheet, ""provisions"" under Ind AS are reported as two separate line items: Non-current provisions and Current provisions. Both must be accounted for to get the total balance.Conclusion: Because the candidate extracted a cash flow movement instead of the actual aggregated balance sheet liability, the answer does not satisfy the requirements of the prompt and is wrong.",on_cited_page,"Provisions  //  (2,366.61)","row 'Provisions', column '' (p.282, 79th Integrated Annual Report, table 0)",
FI38eddf0c,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were advances (the 'Advances' line item as reported on the consolidated balance sheet)?",the 'Advances' line item as reported on the consolidated balance sheet,no,1661949.29,crore,412,p412: Advances | 1661949.29,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Advances  //  1,661,949.29","row 'Advances', column 'C C in crore' (p.412, Company Secretary, table 0, column 'C C in crore')",
FI193658f9,"For Infosys Limited, as reported for the year ended March 31, 2023, what were current tax (current tax as reported in the consolidated financial statements)?",current tax as reported in the consolidated financial statements,no,9287,INR crore,13,p13: Current tax | 9287,Infosys Limited,2023-24,validated,,,,on_cited_page,"Current tax  //  9,287","row 'Current tax', column None (p.13, Consolidated Statement of Profit and Loss, table 0)",
FI532cfb5b,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were profit for the year (profit for the year attributable to owners of the company)?",profit for the year attributable to owners of the company,no,79020,crore,111,p111: Profit for the Year | 79020,Reliance Industries Limited,2023-24,rejected,,,"Profit attributable to Owners of the Company: ₹69,621 crore",on_cited_page,"Profit for the Year  //  79,020","row 'Profit for the Year', column '2023-24' (p.111, Managing Director, table 2, column '2023-24')",
FI63ebeb18,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were interest income (interest income as reported in the standalone financial statements)?",interest income as reported in the standalone financial statements,no,1720.3,INR million,201,p201: Interest income | 1720.3,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt explicitly asks for ""interest income"" as reported in the standalone financial statements, which refers to the total interest income for the company (typically found under ""Other Income"" on the face of the Standalone Statement of Profit and Loss or its dedicated supporting note). The candidate extracted a figure from the ""Related Party Disclosures"" note.Incomplete Metric / Factual Error: The extracted figure (1,720.3 INR million) represents only the interest income earned specifically from transactions with related parties (such as loans to subsidiaries or joint ventures). It does not represent the company's total standalone interest income, which would also include interest earned from external bank deposits, third-party investments, and other financial assets.Conclusion: Because the candidate pulled a highly specific, partial subset of interest income from a disclosure note rather than the total interest income from the standalone financials, the answer does not satisfy the strict requirements of the prompt and is therefore wrong.",on_cited_page,"Interest income  //  1,720.3","row 'Interest income', column 'March 31, 2023' (p.201, Ind AS- 24 - “RELATED PARTY DISCLOSURES”, table 2, column 'March 31, 2023')",
FI4af06972,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were other income (other income as reported in the consolidated financial statements)?",other income as reported in the consolidated financial statements,no,4633.18,INR crore,281,p281: Other income | 4633.18,Tata Motors Limited,2023-24,validated,,,,on_cited_page,"Other income  //  4,633.18","row 'Other income', column 'March 31, 2023' (p.281, FINANCIALS, table 1, column 'March 31, 2023')",
FI40d1603f,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were other equity (other equity as reported in the consolidated financial statements)?",other equity as reported in the consolidated financial statements,no,452982.84,crore,412,p412: Reserves and surplus | 452982.84,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Reserves and surplus  //  452,982.84","row 'Reserves and surplus', column 'March 31, 2024' (p.412, Company Secretary, table 0, column 'March 31, 2024')",
FI26192dd3,"For Infosys Limited, as reported for the year ended March 31, 2024, what were property, plant and equipment (property, plant and equipment as reported in the consolidated financial statements)?","property, plant and equipment as reported in the consolidated financial statements",no,12370,INR crore,11,"p11: Property, plant and equipment | 12370",Infosys Limited,2023-24,validated,,,,on_cited_page,"Property, plant and equipment  //  12,370","row 'Property, plant and equipment', column '2024' (p.11, Consolidated Balance Sheet, table 0, column '2024')",
FI586a9cd6,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were other expenses (other expenses as reported in the consolidated financial statements)?",other expenses as reported in the consolidated financial statements,no,122318,crore,111,p111: Other Expenses | 122318,Reliance Industries Limited,2023-24,,,,,on_cited_page,"Other Expenses  //  1,22,318","row 'Other Expenses', column '(C in crore) 2022-23' (p.111, Managing Director, table 2, column '(C in crore) 2022-23')",
FI79adc878,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were other financial liabilities (other financial liabilities as reported in the standalone financial statements)?",other financial liabilities as reported in the standalone financial statements,no,17960.1,INR million,182,p182: Other financial liabilities | 17960.1,Sun Pharmaceutical Industries Limited,2023-24,validated,,,,on_cited_page,"Other financial liabilities  //  17,960.1","row 'Other financial liabilities', column 'March 31, 2024' (p.182, Sun Pharmaceutical Industries Limited   |   Annual Report 2023-24, table 1, column 'March 31, 2024')",
FI59f1bc95,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were cash and cash equivalents (cash and cash equivalents as reported in the consolidated financial statements)?",cash and cash equivalents as reported in the consolidated financial statements,no,2898.72,INR crore,304,p304: Cash and cash equivalents | 2898.72,Tata Motors Limited,2023-24,,,,,on_cited_page,"Cash and cash equivalents  //  2,898.72","row 'Cash and cash equivalents', column 'March  31, 2024' (p.304, 79th Integrated Annual Report, table 1, column 'March  31, 2024')",
FI46e02586,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were provisions (provisions as reported in the consolidated financial statements)?",provisions as reported in the consolidated financial statements,no,12798.00,crore,472,p472: Provisions for non - | 12798.00,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Provisions for non -  //  12,798.00","row 'Provisions for non -', column 'For the year ended March 31, 2024' (p.472, SCHEDULES TO THE CONSOLIDATED FINANCIAL STATEMENTS, table 0, column 'For the year ended March 31, 2024')",
FI2a51adfb,"For Infosys Limited, in the 2023-24 consolidated financial statements, what was net profit margin?",,yes,,,13,p13: Profit for the year | 26248 ;; p13: Revenue from operations | 153670,Infosys Limited,2023-24,,,,,no_candidate,,,
FI5d5a31ee,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were total equity (total equity as reported on the consolidated balance sheet)?",total equity as reported on the consolidated balance sheet,no,828881,crore,110,p110: Total Equity | 828881,Reliance Industries Limited,2023-24,,,,,on_cited_page,"Total Equity  //  8,28,881","row 'Total Equity', column '(C in crore)' (p.110, Managing Director, table 0, column '(C in crore)')",
FI823a83a4,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were trade receivables (trade receivables as reported in the standalone financial statements)?",trade receivables as reported in the standalone financial statements,no,5764.8,INR million,183,p183: Trade receivables | 5764.8,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"The cited ₹5,764.8 million is real, but it is not the total trade receivables for Sun Pharmaceutical Industries Limited. It is specifically the South African Rand component of trade receivables in the foreign-exchange risk table. The total there is ₹78,252.7 million.The standalone balance sheet reports total Trade receivables = ₹88,341.6 million as at March 31, 2024.",on_cited_page,"Trade receivables  //  5,764.8","row 'Trade receivables', column 'As at March 31, 2024' (p.183, South African, table 0, column 'As at March 31, 2024')",
FI5d61cd35,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were profit for the year (profit for the year attributable to owners of the company)?",profit for the year attributable to owners of the company,no,31806.75,INR crore,281,p281: Profit for the year (IX-X) | 31806.75 ;; p282: Profit for the year | 31806.75,Tata Motors Limited,2023-24,validated,31399.09,INR crore,,on_cited_page,"Profit for the year (IX-X)  //  31,806.75","row 'Profit for the year (IX-X)', column '' (p.281, FINANCIALS, table 1)",
FI560ce9a1,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were property, plant and equipment (property, plant and equipment as reported in the consolidated financial statements)?","property, plant and equipment as reported in the consolidated financial statements",no,8282.56,crore,412,p412: Fixed assets | 8282.56,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Fixed assets  //  8,282.56","row 'Fixed assets', column 'C C in crore' (p.412, Company Secretary, table 0, column 'C C in crore')",
FI2d5d10d7,"For Infosys Limited, as reported for the year ended March 31, 2023, what were total income (total income as reported in the consolidated financial statements)?",total income as reported in the consolidated financial statements,no,149468,INR crore,13,p13: Total income | 149468,Infosys Limited,2023-24,,,,,on_cited_page,"Total income  //  1,49,468","row 'Total income', column None (p.13, Consolidated Statement of Profit and Loss, table 0)",
FI5de4e28a,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were provisions (provisions as reported in the consolidated financial statements)?",provisions as reported in the consolidated financial statements,no,1607,crore,110,p110: Provisions | 1607,Reliance Industries Limited,2023-24,validated,,,,on_cited_page,"Provisions  //  1,607","row 'Provisions', column '(C in crore)' (p.110, Managing Director, table 0, column '(C in crore)')",
FI8aa54f67,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were other financial liabilities (other financial liabilities as reported in the standalone financial statements)?",other financial liabilities as reported in the standalone financial statements,no,44519.1,INR million,182,p182: Other financial liabilities | 44519.1,Sun Pharmaceutical Industries Limited,2023-24,,,,,on_cited_page,"Other financial liabilities  //  44,519.1","row 'Other financial liabilities', column 'March 31, 2023' (p.182, Sun Pharmaceutical Industries Limited   |   Annual Report 2023-24, table 1, column 'March 31, 2023')",
FI62ef13b7,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were trade payables (trade payables as reported in the consolidated financial statements)?",trade payables as reported in the consolidated financial statements,no,13705.83,INR crore,282,p282: Trade payables | 13705.83,Tata Motors Limited,2023-24,,,,,on_cited_page,"Trade payables  //  13,705.83","row 'Trade payables', column '' (p.282, 79th Integrated Annual Report, table 0)",
FI5a5bd05d,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were provisions and contingencies (provisions and contingencies as reported in the consolidated financial statements)?",provisions and contingencies as reported in the consolidated financial statements,no,36140.38,crore,413,p413: Provisions and contingencies | 36140.38,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Provisions and contingencies  //  36,140.38","row 'Provisions and contingencies', column 'March 31, 2024' (p.413, Integrated Annual Report 2023-24, table 0, column 'March 31, 2024')",
FI3a0b2f65,"For Infosys Limited, as reported for the year ended March 31, 2023, what were total equity (total equity as reported on the consolidated balance sheet)?",total equity as reported on the consolidated balance sheet,no,75795,INR crore,12,p12: Total equity | 75795,Infosys Limited,2023-24,validated,,,,on_cited_page,"Total equity  //  75,795","row 'Total equity', column '2023' (p.12, Consolidated Balance Sheet (contd.), table 0, column '2023')",
FI66c8e58d,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were revenue from operations (revenue from operations, excluding other income)?","revenue from operations, excluding other income",no,891311,crore,111,p111: Revenue from Operations | 891311,Reliance Industries Limited,2023-24,validated,,,,on_cited_page,"Revenue from Operations  //  8,91,311","row 'Revenue from Operations', column '(C in crore) 2022-23' (p.111, Managing Director, table 2, column '(C in crore) 2022-23')",
FI8dbec08e,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were non-controlling interests (non-controlling interests as reported in the consolidated financial statements)?",non-controlling interests as reported in the consolidated financial statements,no,33200.9,INR million,215,p215: Non-controlling interests | 33200.9,Sun Pharmaceutical Industries Limited,2023-24,,,,,on_cited_page,"Non-controlling interests  //  33,200.9","row 'Non-controlling interests', column 'March 31, 2023' (p.215, Mumbai, May 22, 2024, table 0, column 'March 31, 2023')",
FI684732e4,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were property, plant and equipment (property, plant and equipment as reported in the consolidated financial statements)?","property, plant and equipment as reported in the consolidated financial statements",no,621.04,INR crore,322,"p322: Property, plant and equipment | 621.04",Tata Motors Limited,2023-24,validated,73124.66,INR crore,"For March 31, 2024, Tata Motors’ consolidated financial statements report:Property, plant and equipment = ₹73,124.66 crore.",on_cited_page,"Property, plant and equipment  //  621.04","row 'Property, plant and equipment', column 'As at March 31, 2024' (p.322, 79th Integrated Annual Report, table 0, column 'As at March 31, 2024')",
FI5b18b38b,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were basic earnings per share (basic earnings per share as reported in the consolidated financial statements)?",basic earnings per share as reported in the consolidated financial statements,no,82.64,,477,p477: Basic earnings per share (`) | 82.64,HDFC Bank Limited,2023-24,,,,,on_cited_page,Basic earnings per share (`)  //  82.64,"row 'Basic earnings per share (`)', column 'March 31, 2023' (p.477, Financial Statements, table 1, column 'March 31, 2023')",
FI3a2e587f,"For Infosys Limited, as reported for the year ended March 31, 2023, what were total expenses (total expenses as reported in the consolidated financial statements)?",total expenses as reported in the consolidated financial statements,no,116146,INR crore,13,p13: Total expenses | 116146,Infosys Limited,2023-24,validated,,,,on_cited_page,"Total expenses  //  1,16,146","row 'Total expenses', column None (p.13, Consolidated Statement of Profit and Loss, table 0)",
FI6cb13c6a,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were equity share capital (equity share capital as reported in the consolidated financial statements)?",equity share capital as reported in the consolidated financial statements,no,6766,crore,110,p110: Equity Share Capital | 6766,Reliance Industries Limited,2023-24,,,,,on_cited_page,"Equity Share Capital  //  6,766","row 'Equity Share Capital', column '31st March, 2024' (p.110, Managing Director, table 0, column '31st March, 2024')",
FI934156ad,"For Sun Pharmaceutical Industries Limited, in the 2023-24 consolidated financial statements, what was debt to equity ratio (borrowings divided by total equity, both as reported on the consolidated balance sheet, excluding lease liabilities)?","borrowings divided by total equity, both as reported on the consolidated balance sheet, excluding lease liabilities",no,,,265,p265: Borrowings | 28443.6 ;; p215: Total equity | 671059.7,Sun Pharmaceutical Industries Limited,2023-24,,,,,no_candidate,,,
FI78abdcdf,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were borrowings (the 'borrowings (net)' line item as reported on the standalone balance sheet)?",the 'borrowings (net)' line item as reported on the standalone balance sheet,no,-5.28,INR crore,427,p427: borrowings (net) | -5.28 ;; p449: Total borrowings | 18872.44,Tata Motors Limited,2023-24,validated,,,,on_cited_page,borrowings (net)  //  (5.28),"row 'borrowings (net)', column '' (p.427, FINANCIALS, table 0)",
FI5be0cde8,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were non-controlling interests (non-controlling interests as reported in the consolidated financial statements)?",non-controlling interests as reported in the consolidated financial statements,no,13383.40,crore,412,p412: Minority interest | 13383.40,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Minority interest  //  13,383.40","row 'Minority interest', column 'March 31, 2024' (p.412, Company Secretary, table 0, column 'March 31, 2024')",
FI3ef3342a,"For Infosys Limited, as reported for the year ended March 31, 2023, what were finance cost (finance cost as reported in the consolidated financial statements)?",finance cost as reported in the consolidated financial statements,no,284,INR crore,13,p13: Finance cost | 284 ;; p63: Interest expense | 103 ;; p63: Interest expense | 5,Infosys Limited,2023-24,validated,,,,on_cited_page,Finance cost  //  284,"row 'Finance cost', column None (p.13, Consolidated Statement of Profit and Loss, table 0)",
FI78900d3e,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were other income (other income as reported in the consolidated financial statements)?",other income as reported in the consolidated financial statements,no,11734,crore,111,p111: Other Income | 11734,Reliance Industries Limited,2023-24,validated,,,,on_cited_page,"Other Income  //  11,734","row 'Other Income', column '(C in crore) 2022-23' (p.111, Managing Director, table 2, column '(C in crore) 2022-23')",
FI95005673,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were lease liabilities (lease liabilities as reported in the standalone financial statements)?",lease liabilities as reported in the standalone financial statements,no,1803.0,INR million,182,p182: Lease liabilities | 1803.0,Sun Pharmaceutical Industries Limited,2023-24,,,,,on_cited_page,"Lease liabilities  //  1,803.0","row 'Lease liabilities', column 'March 31, 2024' (p.182, Sun Pharmaceutical Industries Limited   |   Annual Report 2023-24, table 1, column 'March 31, 2024')",
FI819fa951,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were other financial liabilities (other financial liabilities as reported in the consolidated financial statements)?",other financial liabilities as reported in the consolidated financial statements,no,706.43,INR crore,282,p282: Other financial liabilities | 706.43,Tata Motors Limited,2023-24,,,,,on_cited_page,Other financial liabilities  //  706.43,"row 'Other financial liabilities', column '(₹ in crores)' (p.282, 79th Integrated Annual Report, table 0, column '(₹ in crores)')",
FI5dbee63d,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were other equity (other equity as reported in the consolidated financial statements)?",other equity as reported in the consolidated financial statements,no,287762.33,crore,412,p412: Reserves and surplus | 287762.33,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Reserves and surplus  //  287,762.33","row 'Reserves and surplus', column 'March 31, 2023' (p.412, Company Secretary, table 0, column 'March 31, 2023')",
FI40a7f29b,"For Infosys Limited, as reported for the year ended March 31, 2024, what were finance cost (finance cost as reported in the consolidated financial statements)?",finance cost as reported in the consolidated financial statements,no,470,INR crore,13,p13: Finance cost | 470 ;; p63: Interest expense | 121 ;; p63: Interest expense | 20,Infosys Limited,2023-24,,,,,on_cited_page,Finance cost  //  470,"row 'Finance cost', column '(In ₹ crore, except equity share and per equity share data) Year ended March 31, 2024 2023' (p.13, Consolidated Statement of Profit and Loss, table 0, column '(In ₹ crore, except equity share and per equity share data) Year ended March 31, 2024 2023')",
FI7e56d1c6,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were profit for the year (profit for the year attributable to owners of the company)?",profit for the year attributable to owners of the company,no,74088,crore,111,p111: Profit for the Year | 74088,Reliance Industries Limited,2023-24,validated,66702,INR crore,"For FY 2022–23, Reliance Industries reported: Profit for the Year: ₹74,088 crore. Attributable to owners of the company: ₹66,702 crore",on_cited_page,"Profit for the Year  //  74,088","row 'Profit for the Year', column '(C in crore) 2022-23' (p.111, Managing Director, table 2, column '(C in crore) 2022-23')",
FIa1037777,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were retained earnings (retained earnings as reported in the standalone financial statements)?",retained earnings as reported in the standalone financial statements,no,127908.8,INR million,169,p169: Retained earnings | 127908.8,Sun Pharmaceutical Industries Limited,2023-24,,,,,on_cited_page,"Retained earnings  //  127,908.8","row 'Retained earnings', column 'March 31, 2023' (p.169, NOTE: 21 OTHER EQUITY, table 1, column 'March 31, 2023')",
FI83c9426d,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were inventories (the 'Inventories' line item as reported on the consolidated balance sheet)?",the 'Inventories' line item as reported on the consolidated balance sheet,no,-5665.36,INR crore,282,p282: Inventories | -5665.36,Tata Motors Limited,2023-24,validated,40755.39,INR crore,"The candidate -₹5,665.36 crore is incorrect. The consolidated balance sheet reports:Inventories = ₹40,755.39 crore as at March 31, 2023.Select c and enter 40755.39 crore.",on_cited_page,"Inventories  //  (5,665.36)","row 'Inventories', column '(₹ in crores)' (p.282, 79th Integrated Annual Report, table 0, column '(₹ in crores)')",
FI676579d8,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were investments (the 'Investments' line item as reported on the consolidated balance sheet)?",the 'Investments' line item as reported on the consolidated balance sheet,no,1005681.63,crore,412,p412: Investments | 1005681.63,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Investments  //  1,005,681.63","row 'Investments', column '' (p.412, Company Secretary, table 0)",
FI40d6be1f,"For Infosys Limited, as reported for the year ended March 31, 2023, what were revenue from operations (revenue from operations, excluding other income)?","revenue from operations, excluding other income",no,146767,INR crore,13,p13: Revenue from operations | 146767,Infosys Limited,2023-24,validated,,,,on_cited_page,"Revenue from operations  //  146,767","row 'Revenue from operations', column None (p.13, Consolidated Statement of Profit and Loss, table 0)",
FI82a95e99,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were other financial liabilities (other financial liabilities as reported in the consolidated financial statements)?",other financial liabilities as reported in the consolidated financial statements,no,5667,crore,110,p110: Other Financial Liabilities | 5667,Reliance Industries Limited,2023-24,validated,61269,crore,"₹5,667 crore is not the FY 2023–24 consolidated figure. In the consolidated balance sheet, “Other Financial Liabilities” was ₹27,493 crore (current); the non-current amount was nil.",on_cited_page,"Other Financial Liabilities  //  5,667","row 'Other Financial Liabilities', column '' (p.110, Managing Director, table 0)",
FIa9d79d75,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were total equity (total equity as reported on the consolidated balance sheet)?",total equity as reported on the consolidated balance sheet,no,671059.7,INR million,215,p215: Total equity | 671059.7,Sun Pharmaceutical Industries Limited,2023-24,validated,,,,on_cited_page,"Total equity  //  671,059.7","row 'Total equity', column 'March 31, 2024' (p.215, Mumbai, May 22, 2024, table 0, column 'March 31, 2024')",
FI85d75350,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were finance cost (finance cost as reported in the consolidated financial statements)?",finance cost as reported in the consolidated financial statements,no,8.85,INR crore,339,p339: Interest expense | 8.85,Tata Motors Limited,2023-24,validated,10225.48,INR crore,The candidate ₹8.85 crore is not the consolidated finance cost. It is an interest expense figure from a different context.,on_cited_page,Interest expense  //  8.85,"row 'Interest expense', column 'March 31, 2023' (p.339, FINANCIALS, table 0, column 'March 31, 2023')",
FI68ab4cd9,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were total assets (total assets as reported in the standalone financial statements)?",total assets as reported in the standalone financial statements,no,63136.81,crore,332,p332: Total Assets | 63136.81,HDFC Bank Limited,2023-24,,,,,on_cited_page,"Total Assets  //  63,136.81","row 'Total Assets', column '(` crore) March 31, 2023' (p.332, Resolution Plan, table 0, column '(` crore) March 31, 2023')",
FI43f5f1a7,"For Infosys Limited, as reported for the year ended March 31, 2024, what were interest income (interest income as reported in the consolidated financial statements)?",interest income as reported in the consolidated financial statements,no,127,INR crore,63,p63: Interest income | 127 ;; p63: Interest income | 20,Infosys Limited,2023-24,rejected,,,The ₹127 crore figure is not the company's overall “interest income”. It is specifically the interest income on gratuity plan assets within Note 2.22.1.,on_cited_page,Interest income  //  127,"row 'Interest income', column '' (p.63, 2.22.1 Gratuity and pension, table 0)",
FI848f1f33,"For Reliance Industries Limited, in the 2023-24 consolidated financial statements, what was net profit margin?",,yes,,,111,p111: Profit for the Year | 79020 ;; p111: Revenue from Operations | 914472,Reliance Industries Limited,2023-24,validated,8.64,percentage,%,no_candidate,,,
FIacdc4b94,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were total equity (total equity as reported on the consolidated balance sheet)?",total equity as reported on the consolidated balance sheet,no,593154.7,INR million,215,p215: Total equity | 593154.7,Sun Pharmaceutical Industries Limited,2023-24,,,,,on_cited_page,"Total equity  //  593,154.7","row 'Total equity', column 'March 31, 2023' (p.215, Mumbai, May 22, 2024, table 0, column 'March 31, 2023')",
FI8d0edaae,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were provisions (provisions as reported in the consolidated financial statements)?",provisions as reported in the consolidated financial statements,no,480.57,INR crore,282,p282: Provisions | 480.57,Tata Motors Limited,2023-24,,,,,on_cited_page,Provisions  //  480.57,"row 'Provisions', column '(₹ in crores)' (p.282, 79th Integrated Annual Report, table 0, column '(₹ in crores)')",
FI6d4f1b3c,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were deferred tax (deferred tax as reported in the consolidated financial statements)?",deferred tax as reported in the consolidated financial statements,no,9301.96,crore,423,p423: Deferred Tax Assets | 9301.96,HDFC Bank Limited,2023-24,validated,8415.03,crore,"The candidate ₹9,301.96 crore is specifically Deferred Tax Assets, not the requested “deferred tax” as reported in HDFC Bank Limited’s consolidated financial statements.",on_cited_page,"Deferred Tax Assets  //  9,301.96","row 'Deferred Tax Assets', column 'March 31, 2024' (p.423, Financial Statements, table 0, column 'March 31, 2024')",
FI53ce4398,"For Infosys Limited, as reported for the year ended March 31, 2023, what were property, plant and equipment (property, plant and equipment as reported in the consolidated financial statements)?","property, plant and equipment as reported in the consolidated financial statements",no,13346,INR crore,11,"p11: Property, plant and equipment | 13346 ;; p55: Property, plant and equipment | 169",Infosys Limited,2023-24,validated,,,,on_cited_page,"Property, plant and equipment  //  13,346","row 'Property, plant and equipment', column '2023' (p.11, Consolidated Balance Sheet, table 0, column '2023')",
FI84e9d191,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were total expenses (total expenses as reported in the consolidated financial statements)?",total expenses as reported in the consolidated financial statements,no,826189,crore,111,p111: Total Expenses | 826189,Reliance Industries Limited,2023-24,,,,,on_cited_page,"Total Expenses  //  8,26,189","row 'Total Expenses', column '2023-24' (p.111, Managing Director, table 2, column '2023-24')",
FIb5cbfd79,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were profit before tax (profit before tax as reported in the consolidated financial statements)?",profit before tax as reported in the consolidated financial statements,no,94084.3,INR million,269,p269: Profit before tax | 94084.3,Sun Pharmaceutical Industries Limited,2023-24,validated,,,,on_cited_page,"Profit before tax  //  94,084.3","row 'Profit before tax', column 'March 31, 2023' (p.269, NOTE: 50 DEFERRED TAX, table 1, column 'March 31, 2023')",
FI8fdff60d,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were profit for the year (profit for the year attributable to owners of the company)?",profit for the year attributable to owners of the company,no,2689.87,INR crore,281,p281: Profit for the year (IX-X) | 2689.87 ;; p282: Profit for the year | 2689.87,Tata Motors Limited,2023-24,validated,2414.29,INR crore,"Total profit for the year: ₹2,689.87 croreAttributable to shareholders of the Company: ₹2,414.29 croreAttributable to non-controlling interests: ₹275.58 crore",on_cited_page,"Profit for the year (IX-X)  //  2,689.87","row 'Profit for the year (IX-X)', column '(₹ in crores)' (p.281, FINANCIALS, table 1, column '(₹ in crores)')",
FI81744692,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were non-controlling interests (non-controlling interests as reported in the consolidated financial statements)?",non-controlling interests as reported in the consolidated financial statements,no,860.26,crore,412,p412: Minority interest | 860.26,HDFC Bank Limited,2023-24,,,,,on_cited_page,Minority interest  //  860.26,"row 'Minority interest', column 'March 31, 2023' (p.412, Company Secretary, table 0, column 'March 31, 2023')",
FI5771e802,"For Infosys Limited, as reported for the year ended March 31, 2024, what were non-controlling interests (non-controlling interests as reported in the consolidated financial statements)?",non-controlling interests as reported in the consolidated financial statements,no,345,INR crore,12,p12: Non-controlling interests | 345,Infosys Limited,2023-24,,,,,on_cited_page,Non-controlling interests  //  345,"row 'Non-controlling interests', column '2024' (p.12, Consolidated Balance Sheet (contd.), table 0, column '2024')",
FI8546c5c0,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were borrowings (the 'Borrowings' line item as reported on the consolidated balance sheet)?",the 'Borrowings' line item as reported on the consolidated balance sheet,no,183176,crore,110,p110: Borrowings | 183176 ;; p140: Borrowings | 135702 ;; p140: Borrowings | 12029,Reliance Industries Limited,2023-24,validated,,,,on_cited_page,"Borrowings  //  1,83,176","row 'Borrowings', column '(C in crore)' (p.110, Managing Director, table 0, column '(C in crore)')",
